Memory stats:
  Experiences:  100000
  Unavailable:  0 (0.0%)
  Lost       :  19241 (19.2%)
Step: 10000  Loss: 0.12942633
Step: 20000  Loss: 0.1214668
Step: 30000  Loss: 0.11290353
Step: 40000  Loss: 0.111732915
Step: 50000  Loss: 0.10945395
Step: 60000  Loss: 0.10664403
Step: 70000  Loss: 0.10478176
Step: 80000  Loss: 0.10021711
Step: 90000  Loss: 0.09792494
Step: 100000 Loss: 0.09360144
Step: 110000 Loss: 0.09335449
Step: 120000 Loss: 0.09111636
Step: 130000 Loss: 0.089428335
Step: 140000 Loss: 0.087751366
Step: 150000 Loss: 0.08507681
Step: 160000 Loss: 0.083179936
Step: 170000 Loss: 0.081945896
Step: 180000 Loss: 0.0804352
Step: 190000 Loss: 0.08271223
Step: 200000 Loss: 0.079001926
Step: 210000 Loss: 0.07873764
Step: 220000 Loss: 0.0802904
Step: 230000 Loss: 0.07635625
Step: 240000 Loss: 0.078421146
Step: 250000 Loss: 0.073281564
Step: 260000 Loss: 0.07440864
Step: 270000 Loss: 0.07481604
Step: 280000 Loss: 0.071931645
Step: 290000 Loss: 0.07398458
Step: 300000 Loss: 0.07472896
Step: 310000 Loss: 0.07155535
Step: 320000 Loss: 0.07066253
Step: 330000 Loss: 0.07046826
Step: 340000 Loss: 0.07215559
Step: 350000 Loss: 0.07005768
Step: 360000 Loss: 0.06525742
Step: 370000 Loss: 0.06621103
Step: 380000 Loss: 0.06539631
Step: 390000 Loss: 0.06434094
Step: 400000 Loss: 0.06410935
Step: 410000 Loss: 0.06341395
Step: 420000 Loss: 0.06437818
Step: 430000 Loss: 0.06612172
Step: 440000 Loss: 0.06626783
Step: 450000 Loss: 0.06537197
Step: 460000 Loss: 0.062225137
Step: 470000 Loss: 0.06253584
Step: 480000 Loss: 0.063914925
Step: 490000 Loss: 0.0654189
Step: 500000 Loss: 0.06696845
Step: 510000 Loss: 0.065955
Step: 520000 Loss: 0.06361285
Step: 530000 Loss: 0.06510825
Step: 540000 Loss: 0.06781032
Step: 550000 Loss: 0.06581967
Step: 560000 Loss: 0.06758037
Step: 570000 Loss: 0.06611106
Step: 580000 Loss: 0.06782903
Step: 590000 Loss: 0.06606967
Step: 600000 Loss: 0.06536317
Step: 610000 Loss: 0.064453445
Step: 620000 Loss: 0.062460545
Step: 630000 Loss: 0.06303463
Step: 640000 Loss: 0.060057536
Step: 650000 Loss: 0.05976805
Step: 660000 Loss: 0.060260464
Step: 670000 Loss: 0.058295414
Step: 680000 Loss: 0.05909433
Step: 690000 Loss: 0.061679583
Step: 700000 Loss: 0.060896277
Step: 710000 Loss: 0.05936782
Step: 720000 Loss: 0.060106143
Step: 730000 Loss: 0.060844325
Step: 740000 Loss: 0.058772128
Step: 750000 Loss: 0.061330117
Step: 760000 Loss: 0.060317222
Step: 770000 Loss: 0.06321779
Step: 780000 Loss: 0.06065637
Step: 790000 Loss: 0.057986457
Step: 800000 Loss: 0.06164211
Step: 810000 Loss: 0.062341977
Step: 820000 Loss: 0.06179165
Step: 830000 Loss: 0.058974605
Step: 840000 Loss: 0.05635251
Step: 850000 Loss: 0.05817431
Step: 860000 Loss: 0.057444185
